Hotel_name,Address,State,Positive_review,Facilities,Description,Price,Hotel_summary
1 oak place,no. 38 euphrates street maitama,abuja,enjoy stay hotel good customer service   helpful friendly staff peaceful environment wonderful tidy environment facility notch great service hotel locate secure high brow area abuja room clean staff courteous definitely return recommend stay hotel nice pleasant check check go staff efficient duty power water supply constant necessary facility work rating.nice 1 oak place great place hotel excellent room spacious beautiful service excellent toiletry clean towel provide room service okay facility good condition food affordable tasty environment quiet internet connection available look forward have wonderful experience love place clean room service good strong wifi central location good amazing bed hotel new hotel notice put thing order regardless wonderful experience know time perfect,"Restaurant, Bar/Lounge, Security, Air Conditioning, 24 Electricity, Adequate Parking, Room service 24h, Flatscreen TV, Laundry, In House Bar, Meeting Rooms, Bar, Gym, DSTV, Wi-fi Internet Access, Wardrobe, Safe, POS, conference facilities","Strategically placed at  38, Euphrates Street, Maitama, Abuja, Nigeria , 1 Oak Place is a classy hotel whose major goal is to redefine the values of comfort and luxury. The well-equipped luxury hotel offers its guests affordable luxury, efficient service and modern amenities. It is situated in the prestigious Maitama District of The Federal Capital Territory, Abuja.   1 Oak Place has elegantly furnished rooms which are of various categories. These categories are the Standard, Classic, Executive and Royal Rooms. These rooms are equipped with modern amenities such as air-conditioning units, queen or king-size bed, cable TV, a wardrobe, an in-room safe, telephone, a refrigerator and en-suite bathroom. All guests are entitled to complimentary breakfast.  Certain facilities have been put in place by 1 Oak Place to ensure the stay is memorable and stress-free. These facilities include: free Wi-Fi, 24-hour power supply, an adequate parking space, swimming pool, a well-equipped gym for guests to engage in workout sessions, a restaurant where guests can order from a wide range of African dishes, and a bar (outside and inside) that is well-stocked with a wide selection of spirits, wines, beers and beverages. At 1 Oak Place, security is top notch with security personnel guarding the premises round-the-clock.  1 Oak Place offers additional services: laundry/valet services, 24 hours front desk and housecleaning services, meeting rooms, conference facilities, airport shuttle and car hire, and ironing services.     Interesting Places To Visit Near 1 Oak Place  Regent School (750m) GSM Arena (1.1km) Oracle Integrated Services (2.4km) Silverbird Gallery (5minute drive)                              1 Oak Place is a top-class hotel in   Maitama ,                             Abuja .",0,supply entitle offer water definitely environment excellent security thing food valet territory location workout gallery look forward airport beverage friendly classy elegantly refrigerator oak comfort constant laundry interesting stay wardrobe car safe condition personnel stock gsm bed adequate african integrate return telephone parking engage regardless oracle strategically session wine notch beer goal efficient guard federal queen experience tasty dutysupply ensure time near clean district round regent okay beautiful inside quiet capital outside amazing equip air complimentary affordable drive certain executive nice know toiletry class enjoy memorable work king good royal classic area power include euphrates redefine situate hire restaurant conference high towel modern size premise ironing housecleaning courteous shuttle clock guest suite pool notice luxury bathroom space peaceful check value love visit dish conditioning wifi strong gym school connection hotel arena new order desk selection locate range service furnish customer room internet helpful necessary unit pleasant spacious major tidy facility category standard great bar staff street available meeting free wide perfect amenity central place provide swimming cable secure wonderful spirit additional breakfast recommend brow hour prestigious
100 % hotel,12 samuel awoniyi street off salvation road,lagos,time hotel great clean place wonderful people able relax eat delicious meal sleep problem able watch different channel want watch champion league view africa magic yoruba hope possible watch channel want period time spend hotel okay stay worth nice stay room comfortable clean feel like home location good improvement security nice stay room comfortable clean feel like home location good improvement security nice stay room comfortable clean feel like home location good improvement security,"Restaurant, Bar/Lounge, Security, Wireless Internet, Wired Internet, Air Conditioning, 24 Electricity, Adequate Parking, In Room Movies, Airport transportation","Ideally located in Ikeja central 5 minutes away from the airport, 100% is a perfect combination of comfort, elegance, leisure and business facilities for those who demand an exceptional hotel experience.                             100 % Hotel  is a budget hotel in   Ikeja ,                             Lagos .",20728,budget hope hotel good elegance africa away security location channel delicious champion yoruba viewideally locate experience relax minute improvement airport able different combination league time room clean business possible home comfort sleep okay period stay facility exceptional great magic worth ikeja perfect leisure central place meal want eat wonderful comfortable nice feel like spend watch people
144 suites luxury hotel,asueifa hospital street off baybridge road opposite asueifa hospital yenagoa nigeria 560213,bayelsa,feel home lodge   checkout feel miss fun wonderful place bayelsa accommodating excellent service 144 suit good comfortable place clean nice painting solid furniture enjoy 144 coconut rice restaurant supervisor deserve special thank desk staff thankful owner manager great hospitality superb cosy boutique hotel ..... home away home hotel welcome staff restaurant management cleaning staff room clean tidy food restaurant exceptional spend night yenagoa training session service delivery excellent ability provide good meal 11 pm nice recommend visitor yenagoa, ,"144 Suites Luxury Hotel is a classy hotel located at  Asueifa Hospital Street, Off Baybridge Road, Opposite Asueifa Hospital, Yenagoa, Nigeria 560213, Bayelsa, Nigeria.  The hotel offers elegant accommodation to guests The nearest airport is Bayelsa Airport, which is only a few kilometres away away. Guests will enjoy the quality of service provided by the staff at the hotel    Each room at 144 Suites Luxury Hotel has a king size bed, cable connected TV set, bedding items, closet, a bathroom, desk etc. Also available at the hotel are free Wifi, free and adequate parking, a restaurant and a bar    Guest will enjoy the variety of food prepared at the on site restaurant    Services available include 24-hour front desk, shuttle service, Luggage storage, Express check-in/check-out, Cleaning services, Room Service, Ironing service, Dry cleaning/Laundry service and Business centre    In addition, guests can also enjoy ironing service (extra cost) and laundry/dry cleaning service (extra cost) on request on request.      Hotel Policy  Check In: From 12:00 PM Check Out: By 12:00 PM Required: a valid ID card is required Children: All children are allowed Pets: Pets are not allowed Payment: Cash, POS                             144 Suites Luxury Hotel  is a budget hotel in   Yenagoa ,                             Bayelsa .",16000,offer excellent solid food set airport card classy require laundry training addition bed adequate delivery centre bedding suit prepare manager parking welcome feel session superb checkout hospital policy accommodation payment deserve near clean business cosy coconut rice thank ability exceptional painting kilometre connect cleaning hospitality pet nice elegant enjoy road king good fun specialbudget include visitor management restaurant home extra size ironing shuttle boutique cash suite guest variety meal luxury pos bathroom child storage check comfortable spend wifi hotel item dry quality away desk lodge thankful allow locate service opposite supervisor room request luggage tidy great furniture staff bar street available cost free site place provide cable owner wonderful closet express valid accommodate night recommend hour
1st forty hotel,plot 38 aminu kano crescent,abuja,pleasant stay hotel issue water electricity constant hotel staff courteous friendly stay night maybe use wow hotel totally amazing excellent staff clean water power supply available toiletry available clean towel provide neat great time hotel hotel okay well room check smell like long time room think window open hour let reservation room smell fresh nice hotel well term service good management enjoy stay manager good sure complain hear good hotel staff considerate good time hotel standard environment customer service ok comfortable stained wall like water suck stay goo price pay hotel ok meet standard intercom room work complain fix withing space 30 minute show customer service ready help responsive service good hotel good room need tide bit mark wall irritate price pay think hotel standard meet expectation enjoy stay 1st 40,"Adequate Parking Space, Security, Security Guard, 24 hours Electricity, Air Conditioning, Room service 24h, Laundry, Dry Cleaning, Car Hire, concierge","An exclusive and highly rated  3-Star  hotel known for its excellent services and serene environment. 1st Forty Hotel offers a haven surrounded by lush gardens and greenery at  Plot 38, Aminu Kano Crescent, Abuja.     1st Forty Hotel offers rooms fitted with air conditioners, flat screen TVs with satellite channels, refrigerators, king-size beds, office chairs and desk, couches and coffee tables, 24 hours room service, free Wi-Fi services, luxurious beddings and an en-suite toilet and bathroom. Some of these rooms come with a sitting area. These rooms are grouped into Millennium, Deluxe Room, Diplomatic Suite, Supreme Room and Executive Room. These rooms are tastefully and delicately furnished with modern facilities and services for guests' comfort and relaxation.    Its restaurant offers a variety of International and local cuisines. Breakfast service is provided daily for checked-in guests. Drinks such as whisky, beer, soft drinks and wines can also be ordered from the on-site bar. The Lounge bar known as Che Bar &amp; Grill provides a lively and relaxing environment for guests and visitors to hang-out. 1st Forty Hotels offers meeting rooms, mini halls and grand scale banquet hall for meetings, events, intimate cocktail party or celebratory banquet.                              1st Forty Hotel is a budget hotel in   Wuse ,                             Abuja .",37000,supply price deluxe grill offer water fix excellent environment mark event fit scale cuisine issue friendly screen refrigerator supreme need greenery comfort constant stay expectation reservation electricity use bed goo bedding intimate manager window totally wine considerate beer serene chair toilet mini surround office intercom grand tv relax think time open clean okay haven amp banquet amazing air luxurious soft toiletrybudget meet executive nice know like plot maybe enjoy work king international good garden bit party area power visitor let ready fresh management hear responsive rate long withe restaurant che hall local wow towel modern smell stain size sit courteous lush suite guest daily satellite lively millennium drink variety flat bathroom space table cocktail star furnished check comfortable help term conditioner group hotel couch order desk channel crescent neat service minute customer exclusive diplomatic come room whisky pleasant tide facility standard great sure staff bar meeting available free site highly provide tastefully coffee wall relaxation celebratory aminu lounge hang breakfast night delicately hour
1st point hotel and suites,64 federal housing estate road elega,ogun,nice time okay stay comfortable service great environment clean need hotel work have television station stay long like relaxed ac room issue keep make disturbing noise kitchen need well make meal choose outside good enjoy stay service okay food nice like anytime abeokuta enjoy stay need improve security cleaning room need improvement good customer service stay hotel okay service good find 24 hour power supply moment power go generator backup power supply pool neat display picture wonderful stay hotel staff efficient friendly comfortable place lodge spacious room cozy clean cause complaint stay hotel management okay try standard slip,"Restaurant, Security, Wireless Internet, Air Conditioning, 24 Electricity, DSTV, Refrigerator, Flatscreen TV, Swimming Pool, Bar","Previous guests at 1st Point Hotel and Suites have had a wonderful stay, saying that it provides excellent customer services and it's situated in a clean environment, which affords them the opportunity to carry on their own activities without any unwanted distraction. Guests who intend on having a long stay in 1st Point Hotel and Suites would find their facilities to be more than satisfying. It is situated at  64, Federal Housing Estate Road, Elega, Abeokuta.   The rooms provided by 1st Point Hotel and Suites are spacious and cosy, providing the guests with a home away from home feel. Guests would definitely find the lodgings to be nice and comfortable.  The amenities found in the rooms include king-sized beds with colourful beddings; guests would have a relaxing and blissful rest as the beds are very soft and big enough to sleep in. You can stock the refrigerator in the rooms with food and drink items to make them chilled. Air conditioning units have been provided in the rooms to help guests feel refreshed after the day in the scorching sun. Guests can carry out their work by making use of the study desks provided in the rooms.  An intercom that connects to front desk has been placed in the rooms so guests can get their requests handled in a timely manner. Items of clothing and other accessories can be kept in the wardrobe and you can be assured of their safety when you are not in the room. The en-suite bathroom comes with a water heater so guests can have a warm and relaxing bath.   1st Point Hotel and Suites offers a hot complimentary breakfast to guests. For hot steam sessions, guests have access to the sauna. Workout sessions can also be carried out at the on-site gym. Guests can have a drink or two at the open bar. A dip in the pool after a long and stressful day would help guests clear their head. The pool also has a bar where guests can have a drink or two. Free Wi-Fi access is available so guests can stay connected to friends, business, colleagues and families on the internet.   Car hire, newspaper, car wash, laundry/dry cleaning and 24-hour room services are provided on request. 1st Point Hotel provides 24-hour power supply as there is a standby generator in case of power outage. Effective security measures have been put in place to safeguard lives and property. Ample parking space has been provided for within the hotel premises.   Interesting Places to Visit near 1st Point Hotel and Suites  Olumo Rock  Arakanga Nature Reserve Elite Club House Abeokuta Museum Alake Palace Ground                              1st Point Hotel and Suites is  hotel in   Abeokuta ,                             Ogun .",0,supply offer water definitely environment excellent heater security food workout steam opportunity noise issue improvement intend friendly refrigerator need generator anytime warm reserve previous wash laundry interesting safeguard stay assure wardrobe car safety stock use bed bedding rest parking feel session manner case efficient sauna federal colleague house intercom activity kitchen handle relax have time open business big scorch clean near cosy okay bath cause sized outside air estate soft connect cleaning complimentary study friend effective keep nice like family rock newspaper connected enjoy work road king good standby cozy housing include power day management situate blissful television long display dip hire say lodging home relaxing choose access premise colourful suite guest pool backup drink find measure meal bathroom space afford elite moment head comfortable visit sun help conditioning gym stressful hotel point item relaxed dry away desk lodge life timely accessory club neat carry service customer come room request unit internet museum spacious sleep try facility standard great station hot refresh bar staff available make chilled free amenity site place ground provide ample clear clothing wonderful hoursupply satisfy property improve breakfast picture palace nature hour
77 palms hotel,no 67/68 beside army officers' mess agodi gra,oyo,fine bathroom good palm 77 hotel exclusive hotel wonderful quiet location ambiance quality hotel excellent friendly courteous polite responsive staff facility great fully functional service good bathroom   nice adequate toiletry get hotel   tell wait clean room like delay able thing sort hotel lovely scenery clean environment large area parking vehicle guest room lovely cute painting wall enjoy stay   beautiful clean hotel high quality service tight security 24hrs electricity function c bit flop   receptionist mistakenly dial room want speak apology happens.the room extremely clean,"Restaurant, Room Service, Laundry, Event Hall, Gym, Spa treatment, Swimming Pool, Bar/Lounge, Air Conditioning, Flatscreen TV, Refrigerator, Telephone, Toiletries, Wi-fi Internet Access","A contemporary high-end boutique hotel, Palms 77 Hotel provides a standard accommodation for local and international visitor at  67/68 adjacent Army Officers' Mess, Agodi- Ikolaba, Ibadan . As a new entrant with modern state-of-the-art facilities, it treats its guest to grand sweeping spaces with the bedroom, living area and an extravagant private infinity pool.    Palms 77 Hotel Ibadan has a total 55 rooms in 7 categories, namely – Standard, Deluxe, British Standard, Studio, Superior, Twin Bed, Diplomatic Suite and the Presidential Suite. Each beautifully decorated room has a king-size bed, armchairs, writing desk and chair, air conditioner, Wi-Fi services, lamps, telephone, toiletries, an en-suite bathroom and flat screen TV with cable channels.    Guests at Palms 77 Hotel also get a complimentary breakfast and newspaper. The restaurant and bar offer a comprehensive list of local and Intercontinental cuisines, alcoholic and non-alcoholic drinks at an affordable price. A lounge and the poolside bar are available for intimate gatherings and parties. The hotel also has a multipurpose hall and meeting room which is ideal for wedding receptions, conference, seminars and lectures.    Other facilities and services at Palm 77 Hotel Ibadan include the swimming pool, gym, spa, salon, make-up studio, car rental, laundry services, room service, parking space and security.     Interesting Places to visit near Palms 77 Hotel  Ibadan Civic Centre (0.45 km)   Terms and Condition  Check In: 12:00 pm (ID Required) Check out: 12:00 pm Cancellation: free cancellation Payments: Cash and Cards Children: children can stay free (Maximum age of 12)                              77 Palms Hotel is a budget hotel in   Ibadan ,                             Oyo .",53088,price deluxe offer polite studio extravagant excellent environment security lovely thing rental location salon wedding cuisine non dial able friendly card screen tight gathering require laundry sort interesting stay car living condition electricity intercontinental state bed adequate write centre sweeping receptionist reception intimate adjacent telephone parking age treat chair accommodation payment grand armchair spa lecture contemporary army near clean multipurpose entrant beautiful superior scenery quiet maximum air painting speak mistakenly complimentary affordable nice like toiletry fullybudget newspaper enjoy international king good tell bit party civic include area fine visitor responsive officer restaurant hall conference high local modern private twin ambiance poolside size large palm courteous cute boutique cancellation cash guest suite pool vehicle drink beautifully want art bathroom flat space child comprehensive check british seminar visit bedroom presidential end term conditioner gym hotel quality list function new desk channel service exclusive total diplomatic ideal room ibadan alcoholic facility functional category standard great bar staff infinity meeting available free place wait provide swimming lamp wall cable wonderful lounge breakfast extremely decorate
7th heaven hotels and suite,no 11tunde alabi streetoff okey okeke drive arowojobemendemarylandlagos.,lagos,good service staff kind accommodate   unfortunately facility expect perfect location good positive likely room available whilst hotel easily accessible fill staff welcome hotel need improve plumbing bed linen good hotel high budget cost hotel render excellent customer service enjoy stay hotel.there   issue check hotel environment cool serene good ambiance   hotel service delivery way average scale rate hotel seven night stay hotel memorable experience clean hotel suite power supply constant stable customer service wonderful   staff courteous excellent service delivery hotel payment option suit hardly cash buy thing struggle glad able pay pos purchase stay good good experience location hotel perfect room give beautiful   comfortable staff accommodate ready assist splendid thank excellent accommodation efficient service surely come read review doubt take leap worth single penny great environment comfort stay intend visit find close ikeja   amazing place stay hotel awesome enjoy stay night,"Restaurant, Bar/Lounge, Wireless Internet, House Keeping, Event Hall, Air Conditioning, Adequate Parking Space, DSTV, Desk, Refrigerator, Flatscreen TV","Shielded from the hustle and bustle of the Lagos Metropolis and offering suitable payment options and POS for purchases, 7th Heaven Hotels and Suites is situated at  11, Tunde Alabi Street, Off Adeyey Street, Millenium Estate, Gbagada, Lagos, Nigeria.   It boasts well-furnished and decorated rooms of different layouts according to their categories. These categories are the Studio Room, Standard Room, Executive and Mini Suites. Each room features full air-conditioning, flat screen TV sets with satellite channels, cosy beds, work table and chair and an en-suite bathroom. Guests are entitled to a complimentary breakfast daily.  7th Heaven Hotels and Suites boasts facilities such as free Wi-Fi, 24-hour electricity, ample parking space, an on-site restaurant with a meal menu consisting of a wide array of both local and continental mouth-watering delicacies and a bar well-stocked with various wines and other alcoholic and non-alcoholic beverages. Security personnel guard the hotel premises 24/7.  On request, it renders services such as laundry/dry cleaning, car hire, 24-hour room service and airport shuttle. It also has event facilities for various kinds of events.     Interesting Places to Visit near 7th Heaven Hotels and Suites  Ikeja City Mall (3.0km) Lagos State Secretariat (3.7km) Computer Village (2.6km) Alade Shopping Mall (0.95km) Afrika Shrine (3.4km)     Terms and Conditions  Check In: From 2:00 PM Check Out: By 12:00 PM Cancellation: Cancellation policies vary according to room type. Children: All children below 12 are allowed to stay free. Pets: Pets are not allowed. Payment: Cash, Visa and MasterCard are accepted here.                              7th Heaven Hotels and Suite is a budget hotel in   Maryland ,                             Lagos .",12233,budget supply entitle offer water metropolis studio mall positive excellent environment security event array thing review maryland location scale awesome non set whilst intend issue airport feature able beverage screen need comfort unfortunately constant hustle laundry interesting stay car personnel condition secretariat stock electricity leap computer menu state bed delivery suit parking mouth welcome wine stable serene penny chair efficient assist guard read mini policy accommodation payment decorate experience different mastercard near clean way render cosy accept beautiful thank easily shrine afrika fill amazing air estate worth shopping kind complimentary shield cleaning hardly pet close executive likely layout enjoy memorable work seven single good type village continental suitable power rate ready situate accord average optionbudget millenium tunde hire restaurant high local bustle linen ambiance purchase premise courteous splendid shuttle visa cancellation cash suite glad guest daily satellite buy find pos meal flat bathroom table space delicacy child check plumbing surely comfortable visit conditioning term vary hotel dry expect cool accessible channel allow service city furnish customer come room request alcoholic consist facility category standard great bar staff cost available heaven street ikeja free perfect wide site place ample wonderful improve breakfast accommodate night option hour boast
ab hotel and suite,beside all saint anglican church olora layout housing rd,ekiti,wonderful time hotel able check ease hotel management staff available attend need guest service render   incredible room service swift response patient enjoy stay honestly speak good hotel visit day power steady environment serene water perfect room executive price wonderful food good absolutely recommend cheer lodge hotel give vip treatment room   spacious neat arrange comfortable bed nice fragrance emanate rest room environment clean atmosphere conducive staff friendly understanding sure   comfortable food superb delicious   definitely stay hotel splendid easily good lately frequent hotel like hotel power steady environment serene stay good thing enjoy water electricity steady impressed find hard people understand necessary thing run hotel service generally good recommend hotel,"Adequate Parking, Toiletries, 24 Electricity, Air Conditioning, Room Service, Security, Luggage Storage, Event Hall, DSTV, Shower","AB Hotels and Suites is a budget hotel located in a serene environment  Beside All Saint Anglican Church, Olora Layout Housing Road, Ekiti State . For business and leisure travellers, it presents the best place to stay.    AB Hotel and Suite has several room categories: Single, Standard, Deluxe, Executive, Double Deluxe and Business. All rooms are en-suite with comfortable beds, flat screen TV, mini refrigerators, air conditioners, chairs and reading tables.   Other available facilities in AB Hotel and Suite include: an exotic bar, 24 hours electricity, event hall and a restaurant. Guests can also request for room service and luggage storage.     Interesting Places To Visit Near AB Hotel and Suite  Ikogosi Warm Spring Adekunle Fajuyi Square Ero Dam     Terms and Conditions  Check In: 12pm Check out: 12 pm Payment: Cash Children: Allowed to stay for free Pets: Not allowed                              AB Hotel and Suite is an affordable hotel in   Ado ,                             Ekiti .",0,price saint deluxe arrange water ero definitely environment event thing food lately able friendly screen refrigerator need warm interesting stay condition peoplebudget electricity state bed leisure church present rest anglican traveller serene chair superb read mini payment honestly steady time business clean near render response ease vip easily understanding run fragrance air speak impressed atmosphere pet affordable executive nice absolutely like cheer generally layout swift enjoy road single good housing include power day frequent management emanate spring hall restaurant understand patient splendid cash guest suite find flat table child check storage comfortable visit attend term conditioner dam square incredible hotel double lodge allow neat delicious locate service ado treatment room necessary request spacious luggage facility category standard sure staff bar available free perfect conducive place exotic wonderful recommend hour
abidap hotels,5/7 dh street behind federal low cost housing estate ipaja  (alimosho local govt.) ipaja,lagos,good 10 day lodging attend wonderful hotel attendant management service excellent hotel standby generator like commend security service hotel comfortable perfect enjoy stay bar swimming pool   promise come hotel visit nigeria good stay hotel hotel locate decent environment offer good service   comfortable bed pillow room neat spacious staff courteous nice hotel expect standard nonetheless guest end take dozen room hotel agree stay well leave night stay alright love come rate 70 stay hotel fine service good air conditioner work thing fine good stay wonderful hotel attendant excellent service comfortable bed pillow food nice affordable enjoy stay bar definitely return hotel,"Bar/Lounge, Air Conditioning, Adequate Parking, Security, Swimming Pool, King sized bed, Flatscreen TV, Gym, Meeting Rooms, Desk, Sofa","Abi Dap hotel is located at  5/7 DH Street, Alimosho, Ipaja, Lagos, Nigeria . It is equipped with state-of-the-art modern amenities to satisfy the needs of guests and help them feel at home and relaxed.  Abi Dap Hotel has various categories of rooms. These categories include: Executive, Super Executive 1, Super Executive 2, Royal Room, Royal Suite 1 and Royal Suite 2. These rooms have a beautiful interior décor and are equipped with tile flooring, air-conditioning, fitted polished work table and armchairs, a cable flat-screen TV, a mini fridge, and an en-suite bathroom with bathtub or shower. Some rooms include a sitting area for your convenience.  A number of facilities have been put in place by Abidap Hotels to meet the needs of its guests. Some of such facilities include: free Wi-Fi, a swimming pool, a restaurant and bar, a gym/fitness centre, a tennis court, pool table, free newspapers, an on-site ATM and a free on-site parking space. Guests can select from a variety of local and continental meals at the restaurant and order from a list of both alcoholic and non-alcoholic drinks at the bar after a relaxing session of swimming.   Abi Dap Hotel offers additional services to its guests upon requests. These services include: laundry/dry cleaning services, room service, ironing services, meeting/banquet facilities, nightclub/DJ services, car rental and concierge services, BBQ facilities, luggage storage and 24-hour front desk services. The hotel has round-the-clock security.     Interesting Places To Visit Near Abi Dap Hotel  Ikeja City Mall (11km) Kalakuta Museum (10.3km) National Art Theatre (27km) Central Mosque of Lagos (32km) Palms Shopping Mall (40km) Freedom Park Lagos (35km) National Museum Lagos (34km) The nearest airport is the Murtala Mohammed Airport which is just 5km away.     Terms and Conditions  Check-In: From 9:00 AM Check-Out: By 12:00 PM Cancellation: Cancellation policies vary according to room type. Children: All children are allowed (Max. Age: 16) Pets: Pets are not allowed. Payment: Cash, Visa and MasterCard are accepted here.                              Abidap Hotels is  hotel in   Ipaja ,                             Lagos .",0,offer decent mall definitely excellent environment security fit thing rental food tennis non airport dap screen need generator number laundry nightclub interesting stay car condition super state bed centre return interior parking age feel session concierge fridge fitness mini policy payment bbq agree relax dozen mastercard near convenience round accept mosque beautiful attendant banquet air equip shopping cleaning meet décor flooring affordable pet executive nice like newspaper enjoy work good type standby promise royal continental include fine area day atm rate management accord restaurant lodging local modern home ironing sit palm courteous alright select clock visa cancellation cash guest suite pool drink variety meal art tile flat bathroom table space child storage park love check comfortable visit attend help mohammed end conditioning conditioner term gym vary hotel polished relaxed dry expect list away order desk allow neat locate national service city max come shower room request museum alcoholic spacious luggage pillow facility category standard commendoffer bar staff street meeting free ikeja perfect amenity site place central swimming abi freedom cable bathtub theatre wonderful satisfy additional armchairs night court hour nonetheless
abuad inn,afe babalola university km 8.5 afe babalola way ado-ekiti,ekiti,stay hotel good time go issue serene cool environment stay okay stay hotel okay checking check go reception receive good room give cool cozy bed comfortable clean sheet bathroom clean maintain issue whatsoever hotel like service render hotel comfortable place stay nice time staff nice efficient room clean comfy good ambiance facility available fully functional good stay impress good service render hotel glad stay hope stay special thank hotels.ng reservation hotel good room rate high staff nice friendly hotel elevator ease customer stress climbing stair good pos work perfectly able payment easily scale seven good place nice time hotel lot thing enjoyed sleep nice soft bed carefully lay fine bed sheet duvet clean alright good sleep environment equally peaceful clean issue hotel room kind dirty towel provide damp use dead insect room fumigate clean like environment little ironic environment clean room change lose patronage,"Restaurant, Bar/Lounge, Wireless Internet, 24 hours Electricity, Adequate Parking Space, Air Conditioning, Flatscreen TV, Security, Security Guard, Gym, Fitness facilities, Swimming Pool, Gift Shop, Laundry, Dry Cleaning","Situated in the capital of Ekiti, Abuad Inn is a classy inn that comes at an affordable price. It is located at  Afe Babalola University, Km 8.5, Afe Babalola Way, Ado-Ikare Raod, Ado-Ekiti, Ekiti State . It is suitable for researchers, professionals and students who have come for an activity at the Afe Babalola University. But leisure and business travellers can also make use of the hotel.  Some of the rooms in Abuad Inn offer a city view from the balcony. Rooms offered by Abuad Inn include Classic Room, Executive Deluxe Room, Double Deluxe Room, Single Room Suite and Double Room Suite. Depending on the room type, in-room facilities at the inn include a big bed, a bedside lamp, a wardrobe, a coffee mug, a fridge, an LCD cable TV, a desk, a mirror, couches, an air- conditioner, a direct dial mobile phone, and a bathroom with a Jacuzzi. Some rooms have 2 king-size beds, a living room, 2 full baths and a cubicle bath.  Facilities that can be found at Abuad Inn include a large swimming pool, free Wi-Fi connection, a gift shop where guests can get various souvenirs, a restaurant, a bar and a fitness centre for workout sessions.  Abuad Inn also offers laundry and dry cleaning services, a 24-hour power supply, on-site parking space, and around-the-clock security.     Interesting Places to Visit near Abuad Inn  Abuad Shopping Mall (9 minutes’ drive) Afe Babalola Cafeteria (9 minutes’ drive) Ado Ekiti Federal Polytechnic (11 minutes’ drive) Ekiti State University (8 minutes’ drive)                              Abuad Inn is a budget hotel in   Ado Ekiti ,                             Ekiti .",27312,mirror price supply deluxe offer mall depend environment security thing workout scale jacuzzi comfy issue dial able friendly patronage classy lie professional laundry receive lcd interesting inn stay wardrobe mug living fumigate university reservation use state bed leisure centre reception parking traveller polytechnic lot session serene hope fridge elevator fitness efficient maintain federal phone climbing payment activity raod time business clean big render way near okay ease bath thank easily capital direct balcony soft shopping kind shop cleaning carefully insect affordable drive damp executive nice like enjoy work seven king single good type cozy suitable include fine classic power whatsoever rate gift situate restaurant high towel cafeteria ambiance size large alright clock cubicle souvenir duvet glad suite afe guest mobile pool equally find pos lose bathroom space peaceful check comfortable visit fully special conditioner connection hotel couch dry impressbudget checking cool double sheet desk locate service city minute customer ado stair come room sleep student bedside facility functional perfectly little change bar staff available free site place provide researcher swimming lamp coffee cable hour view
